,level_0,index,District_Key,District
505,505,422,MN_Pherzawl,pherzawl
506,506,697,UP_Pilibhit,pilibhit
507,507,722,UT_Pithoragarh,pithoragarh
508,508,189,GJ_Porbandar,porbandar
509,509,10,AP_Prakasam,prakasam
510,510,698,UP_Pratapgarh,pratapgarh
511,511,699,UP_Prayagraj,prayagraj
512,512,491,PY_Puducherry,puducherry
513,513,578,TN_Pudukkottai,pudukkottai
514,514,246,JK_Pulwama,pulwama
515,515,245,JK_Punch,punch
516,516,401,MH_Pune,pune
517,517,736,WB_Purba Bardhaman,purba bardhaman
518,518,746,WB_Purba Medinipur,purba medinipur
519,519,484,OR_Puri,puri
520,520,102,BR_Purnia,purnia
521,521,750,WB_Purulia,purulia
522,522,700,UP_Rae Bareli,rae bareli
523,523,301,KA_Raichur,raichur
524,524,402,MH_Raigad,raigad
525,525,137,CT_Raigarh,raigarh
526,526,138,CT_Raipur,raipur
527,527,359,MP_Raisen,raisen
528,528,621,TG_Rajanna Sircilla,rajanna sircilla
529,529,360,MP_Rajgarh,rajgarh
530,530,191,GJ_Rajkot,rajkot
531,531,139,CT_Rajnandgaon,rajnandgaon
532,532,247,JK_Rajouri,rajouri
533,533,542,RJ_Rajsamand,rajsamand
534,534,302,KA_Ramanagara,ramanagara
535,535,579,TN_Ramanathapuram,ramanathapuram
536,536,248,JK_Ramban,ramban
537,537,272,JH_Ramgarh,ramgarh
538,538,701,UP_Rampur,rampur
539,539,273,JH_Ranchi,ranchi
540,540,622,TG_Ranga Reddy,ranga reddy
541,541,580,TN_Ranipet,ranipet
542,542,361,MP_Ratlam,ratlam
543,543,403,MH_Ratnagiri,ratnagiri
544,544,485,OR_Rayagada,rayagada
545,545,249,JK_Reasi,reasi
546,546,362,MP_Rewa,rewa
547,547,217,HR_Rewari,rewari
548,548,432,ML_Ribhoi,ribhoi
549,549,218,HR_Rohtak,rohtak
550,550,103,BR_Rohtas,rohtas
551,551,723,UT_Rudraprayag,rudraprayag
552,552,509,PB_Rupnagar,rupnagar
553,553,511,PB_S.A.S. Nagar,s.a.s. nagar
554,554,11,AP_S.P.S. Nellore,s.p.s. nellore
555,555,192,GJ_Sabarkantha,sabarkantha
556,556,363,MP_Sagar,sagar
557,557,702,UP_Saharanpur,saharanpur
558,558,104,BR_Saharsa,saharsa
559,559,274,JH_Sahibganj,sahibganj
560,560,447,MZ_Saiha,saiha
561,561,555,TN_Salem,salem
562,562,105,BR_Samastipur,samastipur
563,563,250,JK_Samba,samba
564,564,486,OR_Sambalpur,sambalpur
565,565,703,UP_Sambhal,sambhal
566,566,623,TG_Sangareddy,sangareddy
567,567,404,MH_Sangli,sangli
568,568,510,PB_Sangrur,sangrur
569,569,704,UP_Sant Kabir Nagar,sant kabir nagar
570,570,275,JH_Saraikela-Kharsawan,saraikela-kharsawan
571,571,106,BR_Saran,saran
572,572,405,MH_Satara,satara
573,573,364,MP_Satna,satna
574,574,543,RJ_Sawai Madhopur,sawai madhopur
575,575,365,MP_Sehore,sehore
576,576,423,MN_Senapati,senapati
577,577,366,MP_Seoni,seoni
578,578,446,MZ_Serchhip,serchhip
579,579,152,DL_Shahdara,shahdara
580,580,367,MP_Shahdol,shahdol
581,581,512,PB_Shahid Bhagat Singh Nagar,shahid bhagat singh nagar
582,582,705,UP_Shahjahanpur,shahjahanpur
583,583,368,MP_Shajapur,shajapur
584,584,706,UP_Shamli,shamli
585,585,107,BR_Sheikhpura,sheikhpura
586,586,108,BR_Sheohar,sheohar
587,587,369,MP_Sheopur,sheopur
588,588,35,AR_Shi Yomi,shi yomi
589,589,230,HP_Shimla,shimla
590,590,303,KA_Shivamogga,shivamogga
591,591,370,MP_Shivpuri,shivpuri
592,592,251,JK_Shopiyan,shopiyan
593,593,707,UP_Shrawasti,shrawasti
594,594,36,AR_Siang,siang
595,595,708,UP_Siddharthnagar,siddharthnagar
596,596,624,TG_Siddipet,siddipet
597,597,371,MP_Sidhi,sidhi
598,598,544,RJ_Sikar,sikar
599,599,276,JH_Simdega,simdega
600,600,406,MH_Sindhudurg,sindhudurg
601,601,372,MP_Singrauli,singrauli
602,602,635,TR_Sipahijala,sipahijala
603,603,231,HP_Sirmaur,sirmaur
604,604,545,RJ_Sirohi,sirohi
605,605,219,HR_Sirsa,sirsa
606,606,109,BR_Sitamarhi,sitamarhi
607,607,709,UP_Sitapur,sitapur
608,608,582,TN_Sivaganga,sivaganga
609,609,70,AS_Sivasagar,sivasagar
610,610,110,BR_Siwan,siwan
611,611,232,HP_Solan,solan
612,612,407,MH_Solapur,solapur
613,613,710,UP_Sonbhadra,sonbhadra
614,614,220,HR_Sonipat,sonipat
615,615,71,AS_Sonitpur,sonitpur
616,616,735,WB_South 24 Parganas,south 24 parganas
617,617,3,AN_South Andaman,south andaman
618,618,153,DL_South Delhi,south delhi
619,619,154,DL_South East Delhi,south east delhi
620,620,433,ML_South Garo Hills,south garo hills
621,621,158,GA_South Goa,south goa
622,622,72,AS_South Salmara Mankachar,south salmara mankachar
623,623,551,SK_South Sikkim,south sikkim
624,624,636,TR_South Tripura,south tripura
625,625,155,DL_South West Delhi,south west delhi
626,626,434,ML_South West Garo Hills,south west garo hills
627,627,435,ML_South West Khasi Hills,south west khasi hills
628,628,513,PB_Sri Muktsar Sahib,sri muktsar sahib
629,629,12,AP_Srikakulam,srikakulam
630,630,252,JK_Srinagar,srinagar
631,631,487,OR_Subarnapur,subarnapur
632,632,140,CT_Sukma,sukma
633,633,711,UP_Sultanpur,sultanpur
634,634,488,OR_Sundargarh,sundargarh
635,635,111,BR_Supaul,supaul
636,636,141,CT_Surajpur,surajpur
637,637,194,GJ_Surat,surat
638,638,195,GJ_Surendranagar,surendranagar
639,639,142,CT_Surguja,surguja
640,640,625,TG_Suryapet,suryapet
641,641,424,MN_Tamenglong,tamenglong
642,642,196,GJ_Tapi,tapi
643,643,514,PB_Tarn Taran,tarn taran
644,644,37,AR_Tawang,tawang
645,645,724,UT_Tehri Garhwal,tehri garhwal
646,646,425,MN_Tengnoupal,tengnoupal
647,647,584,TN_Tenkasi,tenkasi
648,648,408,MH_Thane,thane
649,649,585,TN_Thanjavur,thanjavur
650,650,586,TN_Theni,theni
651,651,577,TN_Thiruvallur,thiruvallur
652,652,320,KL_Thiruvananthapuram,thiruvananthapuram
653,653,594,TN_Thiruvarur,thiruvarur
654,654,568,TN_Thoothukkudi,thoothukkudi
655,655,426,MN_Thoubal,thoubal
656,656,321,KL_Thrissur,thrissur
657,657,373,MP_Tikamgarh,tikamgarh
658,658,73,AS_Tinsukia,tinsukia
659,659,38,AR_Tirap,tirap
660,660,588,TN_Tiruchirappalli,tiruchirappalli
661,661,589,TN_Tirunelveli,tirunelveli
662,662,590,TN_Tirupathur,tirupathur
663,663,591,TN_Tiruppur,tiruppur
664,664,593,TN_Tiruvannamalai,tiruvannamalai
665,665,547,RJ_Tonk,tonk
666,666,456,NL_Tuensang,tuensang
667,667,304,KA_Tumakuru,tumakuru
668,668,548,RJ_Udaipur,udaipur
669,669,74,AS_Udalguri,udalguri
670,670,725,UT_Udham Singh Nagar,udham singh nagar
671,671,253,JK_Udhampur,udhampur
672,672,305,KA_Udupi,udupi
673,673,374,MP_Ujjain,ujjain
674,674,427,MN_Ukhrul,ukhrul
675,675,375,MP_Umaria,umaria
676,676,233,HP_Una,una
677,677,712,UP_Unnao,unnao
678,678,637,TR_Unokoti,unokoti
679,679,19,AR_Upper Dibang Valley,upper dibang valley
680,680,39,AR_Upper Siang,upper siang
681,681,40,AR_Upper Subansiri,upper subansiri
682,682,129,CT_Uttar Bastar Kanker,uttar bastar kanker
683,683,753,WB_Uttar Dinajpur,uttar dinajpur
684,684,306,KA_Uttara Kannada,uttara kannada
685,685,726,UT_Uttarkashi,uttarkashi
686,686,198,GJ_Vadodara,vadodara
687,687,112,BR_Vaishali,vaishali
688,688,199,GJ_Valsad,valsad
689,689,713,UP_Varanasi,varanasi
690,690,595,TN_Vellore,vellore
691,691,376,MP_Vidisha,vidisha
692,692,307,KA_Vijayapura,vijayapura
693,693,626,TG_Vikarabad,vikarabad
694,694,596,TN_Viluppuram,viluppuram
695,695,597,TN_Virudhunagar,virudhunagar
696,696,13,AP_Visakhapatnam,visakhapatnam
697,697,14,AP_Vizianagaram,vizianagaram
698,698,627,TG_Wanaparthy,wanaparthy
699,699,628,TG_Warangal Rural,warangal rural
700,700,629,TG_Warangal Urban,warangal urban
701,701,409,MH_Wardha,wardha
702,702,410,MH_Washim,washim
703,703,322,KL_Wayanad,wayanad
704,704,113,BR_West Champaran,west champaran
705,705,156,DL_West Delhi,west delhi
706,706,436,ML_West Garo Hills,west garo hills
707,707,15,AP_West Godavari,west godavari
708,708,437,ML_West Jaintia Hills,west jaintia hills
709,709,41,AR_West Kameng,west kameng
710,710,75,AS_West Karbi Anglong,west karbi anglong
711,711,438,ML_West Khasi Hills,west khasi hills
712,712,42,AR_West Siang,west siang
713,713,552,SK_West Sikkim,west sikkim
714,714,277,JH_West Singhbhum,west singhbhum
715,715,638,TR_West Tripura,west tripura
716,716,457,NL_Wokha,wokha
717,717,16,AP_Y.S.R. Kadapa,y.s.r. kadapa
718,718,630,TG_Yadadri Bhuvanagiri,yadadri bhuvanagiri
719,719,308,KA_Yadgir,yadgir
720,720,221,HR_Yamunanagar,yamunanagar
721,721,492,PY_Yanam,yanam
