0,1
up_sitapur,banas kantha  
up_sitapur,udaipur 
up_sitapur,sabar kantha  
up_sitapur,jalor 
ct_bametara,patan 
ct_bametara,sabar kantha  
ct_bametara,sirohi 
ct_bametara,mahesana  
ct_bametara,kutch  
ct_bametara,jalor 
wb_birbhum,jaisalmer 
wb_birbhum,churu 
wb_birbhum,jodhpur 
wb_birbhum,nagaur 
wb_birbhum,sri ganganagar 
wb_birbhum,hanumangarh 
rj_nagaur,pali 
rj_nagaur,churu 
rj_nagaur,jodhpur 
rj_nagaur,jaipur 
rj_nagaur,ajmer 
rj_nagaur,sikar 
rj_nagaur,bikaner 
rj_ajmer,pali 
rj_ajmer,rajsamand 
rj_ajmer,jaipur 
rj_ajmer,bhilwara 
rj_ajmer,nagaur 
rj_ajmer,tonk 
jh_ramgarh,pali 
jh_ramgarh,chittorgarh 
jh_ramgarh,udaipur 
jh_ramgarh,ajmer 
jh_ramgarh,bhilwara 
jk_udhampur,pali 
jk_udhampur,rajsamand 
jk_udhampur,chittorgarh 
jk_udhampur,dungarpur 
jk_udhampur,sabar kantha  
jk_udhampur,sirohi 
jk_udhampur,pratapgarh 
jk_udhampur,aravalli  
ar_upper siang,lucknow 
ar_upper siang,kanpur nagar 
ar_upper siang,rae bareilly 
ar_upper siang,fatehpur 
ar_upper siang,hardoi 
rj_hanumangarh,lucknow 
rj_hanumangarh,kanpur nagar 
rj_hanumangarh,unnao 
rj_hanumangarh,shahjahanpur 
rj_hanumangarh,kheri 
rj_hanumangarh,sitapur 
rj_hanumangarh,farrukhabad 
rj_hanumangarh,kannauj 
ar_lower siang,unnao 
ar_lower siang,rae bareilly 
ar_lower siang,barabanki 
ar_lower siang,sitapur 
ar_lower siang,hardoi 
kl_kannur,unnao 
kl_kannur,hamirpur 
kl_kannur,kanpur dehat 
kl_kannur,hardoi 
kl_kannur,fatehpur 
kl_kannur,kannauj 
hr_fatehabad,kanpur nagar 
hr_fatehabad,unnao 
hr_fatehabad,hamirpur 
hr_fatehabad,pratapgarh 
hr_fatehabad,rae bareilly 
hr_fatehabad,banda 
hr_fatehabad,kaushambi 
hr_fatehabad,chitrakoot 
ct_raipur,lucknow 
ct_raipur,unnao 
ct_raipur,pratapgarh 
ct_raipur,amethi 
ct_raipur,kaushambi 
ct_raipur,barabanki 
ct_raipur,fatehpur 
up_kanpur dehat,thiruvananthapuram 
up_kanpur dehat,tirunelveli kattabo 
rj_tonk,kollam 
rj_tonk,kanyakumari  
rj_tonk,thoothukudi  
rj_tonk,virudhunagar  
rj_tonk,idukki 
rj_tonk,pattanamtitta 
rj_tonk,thiruvananthapuram 
kl_thrissur,kollam 
kl_thrissur,kanyakumari  
kl_thrissur,tirunelveli kattabo 
ap_vizianagaram,madurai  
ap_vizianagaram,sivagangai  
ap_vizianagaram,ramanathapuram  
ap_vizianagaram,thoothukudi  
ap_vizianagaram,tirunelveli kattabo 
